condition,observable,time,value
cond_il6_1,pSTAT3,78.0,0.14440493158616372
cond_il6_1,pSTAT3,79.0,0.14300394992167534
cond_il6_1,pSTAT3,80.0,0.14175591674457994
cond_il6_1,pSTAT3,81.0,0.14065048546103026
cond_il6_1,pSTAT3,82.0,0.1396777857195191
cond_il6_1,pSTAT3,83.0,0.1388284093842303
cond_il6_1,pSTAT3,84.0,0.1380933965025551
cond_il6_1,pSTAT3,85.0,0.13746422137655198
cond_il6_1,pSTAT3,86.0,0.1369327788208187
cond_il6_1,pSTAT3,87.0,0.13649137066974612
cond_il6_1,pSTAT3,88.0,0.13613269254269647
cond_il6_1,pSTAT3,89.0,0.13584982093335535
cond_il6_1,pSTAT3,90.0,0.13563620060675302
cond_il10_1,pSTAT1,0.0,0.0
cond_il10_1,pSTAT1,1.0,0.0003255751591182488
cond_il10_1,pSTAT1,2.0,0.001956928455532026
cond_il10_1,pSTAT1,3.0,0.004627115773610721
cond_il10_1,pSTAT1,4.0,0.007829183080874765
cond_il10_1,pSTAT1,5.0,0.0112682080338277
cond_il10_1,pSTAT1,6.0,0.014806053605539696
cond_il10_1,pSTAT1,7.0,0.01838325933091048
cond_il10_1,pSTAT1,8.0,0.021975350378814495
cond_il10_1,pSTAT1,9.0,0.025572539300744632
cond_il10_1,pSTAT1,10.0,0.02917084086052621
cond_il10_1,pSTAT1,11.0,0.032768190252607785
cond_il10_1,pSTAT1,12.0,0.036362677437193965
cond_il10_1,pSTAT1,13.0,0.039951685574817854
cond_il10_1,pSTAT1,14.0,0.04353143899053361
cond_il10_1,pSTAT1,15.0,0.047096758507083315
cond_il10_1,pSTAT1,16.0,0.05064094003407621
cond_il10_1,pSTAT1,17.0,0.054155719402925385
cond_il10_1,pSTAT1,18.0,0.057631306727355745
cond_il10_1,pSTAT1,19.0,0.06105648154921445
cond_il10_1,pSTAT1,20.0,0.0644187431350789
cond_il10_1,pSTAT1,21.0,0.06770451168943621
cond_il10_1,pSTAT1,22.0,0.07089937372461103
cond_il10_1,pSTAT1,23.0,0.07398836514522814
cond_il10_1,pSTAT1,24.0,0.07695628282774393
cond_il10_1,pSTAT1,25.0,0.07978801426415513
cond_il10_1,pSTAT1,26.0,0.08246887370253017
cond_il10_1,pSTAT1,27.0,0.08498493264857931
cond_il10_1,pSTAT1,28.0,0.08732333281242695
cond_il10_1,pSTAT1,29.0,0.08947257039381408
cond_il10_1,pSTAT1,30.0,0.09142274220088091
cond_il10_1,pSTAT1,31.0,0.09316574595287597
cond_il10_1,pSTAT1,32.0,0.09469542966880404
cond_il10_1,pSTAT1,33.0,0.09600768718327621
cond_il10_1,pSTAT1,34.0,0.09710049965912278
cond_il10_1,pSTAT1,35.0,0.09797392478798157
cond_il10_1,pSTAT1,36.0,0.0986300376567775
cond_il10_1,pSTAT1,37.0,0.09907282850883431
cond_il10_1,pSTAT1,38.0,0.0993080638946736
cond_il10_1,pSTAT1,39.0,0.09934311833412288
cond_il10_1,pSTAT1,40.0,0.09918678382189641
cond_il10_1,pSTAT1,41.0,0.09884906455351089
cond_il10_1,pSTAT1,42.0,0.09834096374215959
cond_il10_1,pSTAT1,43.0,0.09767426890941301
cond_il10_1,pSTAT1,44.0,0.09686134121843995
cond_il10_1,pSTAT1,45.0,0.0959149135946248
cond_il10_1,pSTAT1,46.0,0.09484790147911958
cond_il10_1,pSTAT1,47.0,0.0936732291836952
cond_il10_1,pSTAT1,48.0,0.09240367391450888
cond_il10_1,pSTAT1,49.0,0.09105172885490154
cond_il10_1,pSTAT1,50.0,0.08962948591346265
cond_il10_1,pSTAT1,51.0,0.08814853759432753
cond_il10_1,pSTAT1,52.0,0.086619898410026
cond_il10_1,pSTAT1,53.0,0.08505394482784405
cond_il10_1,pSTAT1,54.0,0.08346037113852833
cond_il10_1,pSTAT1,55.0,0.08184816120545163
cond_il10_1,pSTAT1,56.0,0.08022557403838973
cond_il10_1,pSTAT1,57.0,0.0786001413168366
cond_il10_1,pSTAT1,58.0,0.07697867528851207
cond_il10_1,pSTAT1,59.0,0.07536728535581376
cond_il10_1,pSTAT1,60.0,0.07377140184040193
cond_il10_1,pSTAT1,61.0,0.07219580528629968
cond_il10_1,pSTAT1,62.0,0.07064466005480757
cond_il10_1,pSTAT1,63.0,0.06912155100743803
cond_il10_1,pSTAT1,64.0,0.06762952213954532
cond_il10_1,pSTAT1,65.0,0.06617111628701954
cond_il10_1,pSTAT1,66.0,0.0647484151210966
cond_il10_1,pSTAT1,67.0,0.06336307876210706
cond_il10_1,pSTAT1,68.0,0.06201638449772876
cond_il10_1,pSTAT1,69.0,0.06070926419207709
cond_il10_1,pSTAT1,70.0,0.05944234004320025
cond_il10_1,pSTAT1,71.0,0.058215958485090265
cond_il10_1,pSTAT1,72.0,0.0570302220732142
cond_il10_1,pSTAT1,73.0,0.05588501922467138
cond_il10_1,pSTAT1,74.0,0.05478005181483953
cond_il10_1,pSTAT1,75.0,0.05371486061695441
cond_il10_1,pSTAT1,76.0,0.052688848596241
cond_il10_1,pSTAT1,77.0,0.05170130214854752
cond_il10_1,pSTAT1,78.0,0.05075141036148179
cond_il10_1,pSTAT1,79.0,0.049838282381336085
cond_il10_1,pSTAT1,80.0,0.04896096299500753
cond_il10_1,pSTAT1,81.0,0.04811844655376267
cond_il10_1,pSTAT1,82.0,0.04730968934195946
cond_il10_1,pSTAT1,83.0,0.046533620449177755
cond_il10_1,pSTAT1,84.0,0.04578915150988893
cond_il10_1,pSTAT1,85.0,0.04507518512598873
cond_il10_1,pSTAT1,86.0,0.04439062202325607
cond_il10_1,pSTAT1,87.0,0.04373436732891281
cond_il10_1,pSTAT1,88.0,0.04310533604567254
cond_il10_1,pSTAT1,89.0,0.04250245765328695
cond_il10_1,pSTAT1,90.0,0.04192467995204178
cond_il10_1,pSTAT3,0.0,0.0
cond_il10_1,pSTAT3,1.0,0.002999028469737247
cond_il10_1,pSTAT3,2.0,0.018353673896129026
cond_il10_1,pSTAT3,3.0,0.04425438399823207
cond_il10_1,pSTAT3,4.0,0.07628014588140933
cond_il10_1,pSTAT3,5.0,0.11158724268647649
cond_il10_1,pSTAT3,6.0,0.14859029673745247
cond_il10_1,pSTAT3,7.0,0.18636348859276483
cond_il10_1,pSTAT3,8.0,0.22430102367710036
cond_il10_1,pSTAT3,9.0,0.26196048571788166
cond_il10_1,pSTAT3,10.0,0.2989946241224364
cond_il10_1,pSTAT3,11.0,0.33512111671651584
cond_il10_1,pSTAT3,12.0,0.37010799223563406
cond_il10_1,pSTAT3,13.0,0.403765551268009
cond_il10_1,pSTAT3,14.0,0.43594111201132646
cond_il10_1,pSTAT3,15.0,0.46651507856345853
cond_il10_1,pSTAT3,16.0,0.49539768240752097
cond_il10_1,pSTAT3,17.0,0.5225260864476408
cond_il10_1,pSTAT3,18.0,0.547861692385636
cond_il10_1,pSTAT3,19.0,0.5713875643559941
cond_il10_1,pSTAT3,20.0,0.5931059243577071
cond_il10_1,pSTAT3,21.0,0.6130357034793256
cond_il10_1,pSTAT3,22.0,0.6312101496841575
cond_il10_1,pSTAT3,23.0,0.6476745080969637
cond_il10_1,pSTAT3,24.0,0.6624837970605829
cond_il10_1,pSTAT3,25.0,0.6757007072534995
cond_il10_1,pSTAT3,26.0,0.6873936523809641
cond_il10_1,pSTAT3,27.0,0.6976349960740285
cond_il10_1,pSTAT3,28.0,0.7064994758431524
cond_il10_1,pSTAT3,29.0,0.7140628370960618
cond_il10_1,pSTAT3,30.0,0.7204006821941389
cond_il10_1,pSTAT3,31.0,0.7255875329321565
cond_il10_1,pSTAT3,32.0,0.7296960961581898
cond_il10_1,pSTAT3,33.0,0.732796717834872
cond_il10_1,pSTAT3,34.0,0.7349570048028155
cond_il10_1,pSTAT3,35.0,0.7362415920959091
cond_il10_1,pSTAT3,36.0,0.736712031181578
cond_il10_1,pSTAT3,37.0,0.7364267753995389
cond_il10_1,pSTAT3,38.0,0.7354412395842238
cond_il10_1,pSTAT3,39.0,0.7338079130358214
cond_il10_1,pSTAT3,40.0,0.731576507626437
cond_il10_1,pSTAT3,41.0,0.7287941254709226
cond_il10_1,pSTAT3,42.0,0.725505433698415
cond_il10_1,pSTAT3,43.0,0.7217528365269765
cond_il10_1,pSTAT3,44.0,0.7175766375052534
